【国語】暗記マニア　原稿入力FMT　※10問１セットで1シートに入力してください。※コメントに要件が書いてあります。必ず読んでから入力してください。文字数制限はありませんが、長すぎると極端に小さな文字になるおそれがあります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイトル画面,,,,,,問題No.1,問題領域,,,,ヒント領域,,,,解答領域,,,,,,,,,,,,解説領域,,,,備考
ゲームNo.,教科名,単元名（タイトル）,おすすめ度,,,,,,,,,,,,タイプ,選択肢数,選択肢１,,,選択肢２,,,選択肢３,,,正解,,,,,
,,,中１,中２,中３,,タイプ,問題文,文字数,図版ファイル名,タイプ,ヒント文,文字数,図版ファイル名,,,選択肢,文字数,図版ファイル名,選択肢２,文字数,図版ファイル名,選択肢,文字数,図版ファイル名,,タイプ,解説,文字数,図版ファイル名,
,国語,【古文・漢文】あやふや撃退！古文・漢文ねらい撃ち！,0,2,3,1 ,テキスト,「あはれなり」を現代仮名遣いに直したものは？,22,,テキスト,"歴史的仮名遣いを現代仮名遣いに直すときのルールがあるよね。声に出して読んでみて、意味がわからなかったり不自然だったりする部分を探してみよう。
",71,,テキスト,3,あわれなり,5,,あわれだ,4,,あはれだ,4,,1 ,テキスト,語頭と「～は」などの助詞以外の「は・ひ・ふ・へ・ほ」は「わ・い・う・え・お」に直すので、「は」は「わ」に直すよ。「しみじみとした趣がある」という意味だよ。,77,,
,国語,【古文・漢文】あやふや撃退！古文・漢文ねらい撃ち！,0,2,3,2 ,テキスト,「枕草子(まくらのそうし）」の作者は？,19,,テキスト,平安時代に、女性が書いた随筆だよ。,17,,テキスト,3,"清少納言(せいしょうなごん)
",15,,紫式部(むらさきしきぶ),10,,兼好（けんこう）法師,10,,1 ,テキスト,"清少納言が、現代でいえば皇后に当たる地位の人物にお仕えしたときの見聞や、自然などについての感想を記したものだよ。紫式部は「源氏(げんじ)物語」、兼好法師は「徒然草(つれづれぐさ)」の作者だよ。
",97,,
,国語,【古文・漢文】あやふや撃退！古文・漢文ねらい撃ち！,0,2,3,3 ,テキスト,古文によくある「今は昔」の意味は？,17,,テキスト,昔話が「むかしむかし、～」で始まることが多いのと似ているね。,30,,テキスト,3,今となっては昔のことだが。,13,,現代も昔も同じだが。,13,,今はもう昔のことは忘れて。,13,,1 ,テキスト,「竹取（たけとり)物語」もこの言葉で始まるね。物語や説話の初めによく出てくる表現だよ。,43,,
,国語,【古文・漢文】あやふや撃退！古文・漢文ねらい撃ち！,0,2,3,4 ,テキスト,「いとをかし」の「いと」の意味は？,17,,テキスト,「いと」は、程度や状態を表す言葉だよ。「をかし」は「趣がある」という意味だよ。,39,,テキスト,3,たいそう。とても。,9,,いつも。,6,,なんとなく。,6,,1 ,テキスト,古文にしか使われない言葉だよ。「いとうれし」など、主に形容詞や形容動詞を修飾して、「とても」という意味を表すよ。よく出てくるので覚えておこう。,71,,
,国語,【古文・漢文】あやふや撃退！古文・漢文ねらい撃ち！,0,2,3,5 ,テキスト,「小さきものはみなうつくし」の「うつくし」の意味は？,26,,テキスト,古語には、現代語と形が似ているけれど、意味の違うものがあるよ。,31,,テキスト,3,かわいらしい。愛らしい。,12,,美しい。,6,,なつかしい。,6,,1 ,テキスト,「うつくし」は、肉親や、小さいもの、幼い者を愛らしいと感じる気持ちを表す言葉だよ。重要古語の一つなので、しっかり覚えておこう。,63,,
,国語,【古文・漢文】あやふや撃退！古文・漢文ねらい撃ち！,0,2,2,6 ,テキスト,「としごろ思ひつること、果たしはべりぬ。」の「としごろ」の意味は？,33,,テキスト,古文に特有の言葉で、　現在に至るまでのおおよその期間を表す言葉だよ。,34,,テキスト,3,長年の間。,5,,大人になって。,6,,年を取って。,6,,1 ,テキスト,「徒然草（つれづれぐさ）」に出てくるよ。「長年の間願っていたことを果たしました。」という意味だよ。願っていたこととは、石清水八幡宮(いわしみずはちまんぐう)に参拝することなんだよ。,90,,
,国語,【古文・漢文】あやふや撃退！古文・漢文ねらい撃ち！,0,2,3,7 ,テキスト,「この子いと大きになりぬれば」の「この子」のあとにどんな語を補える？,34,,テキスト,古文では主語を表す助詞が記されないことが多いよ。,24,,テキスト,3,は（が）,4,,を,1,,に,1,,1,テキスト,全体は「この子は（が）たいそう大きくなったので」という意味だよ。古文の読解では、誰がどうしたのかをおさえることが大切だよ。,61,,
,国語,【古文・漢文】あやふや撃退！古文・漢文ねらい撃ち！,0,2,3,8 ,テキスト,「名をばさぬきのみやつことなむ言ひける。」に使われている古文特有の表現は？,37,,テキスト,「ぞ・なむ・や・か・こそ」という係りの助詞が入ると結びの語の形が変わるのは「係り結び」だよ。「なむ」を入れて結びの語を「ける」（連体形）にして、強調しているよ。,80,,テキスト,3,係り結び,4,,枕詞(まくらことば),3,,切れ字,3,,1 ,テキスト,"「ぞ・なむ・や・か・こそ」という係りの助詞が入ると結びの語の形が変わるのは「係り結び」。「なむ」が入ると、結びの語は「けり」（終止形）ではなく、「ける」（連体形）になるよ。「名前をさぬきのみやつこと言った。」という意味だよ。
",113,,
,国語,【古文・漢文】あやふや撃退！古文・漢文ねらい撃ち！,0,2,3,9 ,テキスト,「国破山河在」を書き改めた「国破れて山河在り」という文は何？,30,,テキスト,漢字だけではなく、日本語として意味が通じる形になっているね。,30,,テキスト,3,書き下(くだ)し文,9,,白文(はくぶん),3,,訓読文,3,,1 ,テキスト,漢字だけで書かれたものを「白文」、白文に返り点（レ点や一・二点など）や送り仮名をつけたものを「訓読文」というよ。「書き下し文」は、訓読文を漢字仮名交じりの文に書き改めたものだよ。,89,,
