【数学】暗記マニア　原稿入力FMT　※10問１セットで1シートに入力してください。※コメントに要件が書いてあります。必ず読んでから入力してください。文字数制限はありませんが、長すぎると極端に小さな文字になるおそれがあります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイトル画面,,,,,,問題No.1,問題領域,,,,ヒント領域,,,,解答領域,,,,,,,,,,,,解説領域,,,,備考
ゲームNo.,教科名,単元名（タイトル）,おすすめ度,,,,,,,,,,,,タイプ,選択肢数,選択肢１,,,選択肢２,,,選択肢３,,,正解,,,,,
,,,中１,中２,中３,,タイプ,問題文,文字数,図版ファイル名,タイプ,ヒント文,文字数,図版ファイル名,,,選択肢,文字数,図版ファイル名,選択肢２,文字数,図版ファイル名,選択肢,文字数,図版ファイル名,,タイプ,解説,文字数,図版ファイル名,
3,数学,【図形】あやふや撃退!図形公式マスター,0,2,1,1 ,図版,"円周を求める式はどれ？（円周率を_とする）
",24,AM1703_1.png ,,,0,,図版,3,,0,,,0,,,0,,1,図版,円周と円の面積の公式は違うよ。しっかり覚えよう。,24,,"問題領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。
解答・解説領域：πや累乗があるので、図版で作成お願いします。"
3,数学,【図形】あやふや撃退!図形公式マスター,0,2,1,2 ,図版,"円の面積を求める式はどれ？（円周率を_とする）
",25,AM1703_ 1 ,,,0,,図版,3,,0,,,0,,,0,,1,図版,円周と円の面積の公式は違うよ。しっかり覚えよう。,24,,"問題領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。
解答・解説領域：πや累乗があるので、図版で作成お願いします。"
3,数学,【図形】あやふや撃退!図形公式マスター,0,2,1,3 ,図版,"円柱の体積を求める式はどれ？
",15,AM1703_ 2,図版,"円柱は，円を高さ分だけ移動させた立体と
イメージしよう！
",29,AM1703_ 3,図版,3,,0,,,0,,,0,,1,図版,,0,,"問題・ヒント領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。
解答・解説領域：πや累乗があるので、図版で作成お願いします。"
3,数学,【図形】あやふや撃退!図形公式マスター,0,2,1,4 ,図版,"円錐の体積を求める式はどれ？
",15,AM1703_ 4,図版,,0,AM1703_ 5,図版,3,,0,,,0,,,0,,1,図版,,0,,"問題・ヒント領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。
解答・解説領域：πや累乗があるので、図版で作成お願いします。"
3,数学,【図形】あやふや撃退!図形公式マスター,0,2,1,5 ,テキスト,立体の「すべての面の面積の和」のことをなんという？,25,,,,0,,テキスト,3,表面積,3,,側面積,3,,底面積,3,,1,テキスト,立体すべての面の面積の和は「表面積」だね。「側面積」は側面全体の面積のこと，「底面積」は１つの底面の面積をさすよ。,57,,
3,数学,【図形】あやふや撃退!図形公式マスター,0,2,1,6 ,図版,"球の体積を求める式は？
",12,AM1703_ 6,,,0,,図版,3,,0,,,0,,,0,,1,図版,球の体積は，下のように覚えよう！,16,AM1703_ 7,"問題領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。
解答・解説領域：πや累乗、波線があるのでテキストとお渡し図版を組み合わせて図版で作成お願いします。"
3,数学,【図形】あやふや撃退!図形公式マスター,0,2,1,7 ,図版,"球の表面積を求める式はどれ？
",15,AM1703_ 6,,,0,,図版,3,,0,,,0,,,0,,1,図版,球の表面積は，下のように覚えよう！,17,AM1703_ 8,"問題領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。
解答・解説領域：πや累乗、波線があるのでテキストとお渡し図版を組み合わせて図版で作成お願いします。"
3,数学,【図形】あやふや撃退!図形公式マスター,0,2,1,8 ,テキスト,"円柱の表面積を求める式はどれ？
",17,,,,0,,テキスト,2,"側面積＋底面積×２
",10,,"側面積＋底面積
",0,,,0,,1,図版,底面は２つあるので円の2つ分。2倍するのを忘れずに。,26,AM1703_ 9,"
解答・解説領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。"
3,数学,【図形】あやふや撃退!図形公式マスター,0,2,1,9 ,テキスト,"円錐の表面積を求める式はどれ？
",16,,,,0,,図版,2,"側面積＋底面積
",8,,"側面積＋底面積×２
",0,,,0,,1,図版,底面は１つなので，2倍しなくてよいよ。,19,AM1703_ 11,"
解答・解説領域：テキストとお渡し図版を組み合わせて、１つの図版にしていただけるとありがたいです。"
