暗記マニア　原稿入力FMT　※10問１セットで1シートに入力してください。※コメントに要件が書いてあります。必ず読んでから入力してください。文字数制限はありませんが、長すぎると極端に小さな文字になるおそれがあります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイトル画面,,,,,,問題No.1,問題領域,,,,ヒント領域,,,,解答領域,,,,,,,,,,,,解説領域,,,,備考
ゲームNo.,教科名,単元名（タイトル）,おすすめ度,,,,,,,,,,,,タイプ,選択肢数,選択肢１,,,選択肢２,,,選択肢３,,,正解,,,,,
,,,中１,中２,中３,,タイプ,問題文,文字数,図版ファイル名,タイプ,ヒント文,文字数,図版ファイル名,,,選択肢,文字数,図版ファイル名,選択肢２,文字数,図版ファイル名,選択肢,文字数,図版ファイル名,,タイプ,解説,文字数,図版ファイル名,
,理科,【化学】化学式マスターへの道,0,2,1,1 ,テキスト,水素の化学式はどれ？,10,,,,0,,図版,3,,0,CR17040204003L202_01,,0,CR17040204003L203_01,,0,CR17040204003L204_01,1,,,0,,支給図版の日本語の部分を削除して、図版化をお願いいたします。（以下同）
,理科,【化学】化学式マスターへの道,0,2,1,2 ,テキスト,酸素の化学式はどれ？,10,,,,0,,図版,3,,0,CR17040204003L203_01,,0,CR17040204003L204_01,,0,CR17040204003L202_01,1,,,0,,
,理科,【化学】化学式マスターへの道,0,2,1,3 ,テキスト,窒素の化学式はどれ？,10,,,,0,,図版,3,,0,CR17040204003L204_01,,0,CR17040204003L202_01,,0,CR17040204003L203_01,1,,,0,,
,理科,【化学】化学式マスターへの道,0,2,1,4 ,テキスト,水の化学式はどれ？,9,,,,0,,図版,3,,0,CR17040204003L205_01,,0,CR17040204003L206_01,,0,CR17040204003L207_01,1,,,0,,
,理科,【化学】化学式マスターへの道,0,2,1,5 ,テキスト,二酸化炭素の化学式はどれ？,13,,,,0,,図版,3,,0,CR17040204003L206_01,,0,CR17040204003L207_01,,0,CR17040204003L205_01,1,,,0,,
,理科,【化学】化学式マスターへの道,0,2,1,6 ,テキスト,アンモニアの化学式はどれ？,13,,,,0,,図版,3,,0,CR17040204003L207_01,,0,CR17040204003L205_01,,0,CR17040204003L206_01,1,,,0,,
,理科,【化学】化学式マスターへの道,0,2,1,7 ,テキスト,銅の化学式はどれ？,9,,,,0,,図版,3,,0,CR17040204003L208_01,,0,CR17040204003L211_01,,0,CR17040204003L210_01,1,テキスト,銅などの金属は，1種類の原子がたくさん集まってできているので，1個の原子で代表させて表すよ。,46,,
,理科,【化学】化学式マスターへの道,0,2,1,8 ,テキスト,鉄の化学式はどれ？,9,,,,0,,図版,3,,0,CR17040204003L211_01,,0,CR17040204003L210_01,,0,CR17040204003L208_01,1,テキスト,鉄などの金属は，1種類の原子がたくさん集まってできているので，1個の原子で代表させて表すよ。,46,,
,理科,【化学】化学式マスターへの道,0,2,1,9 ,テキスト,金の化学式はどれ？,9,,,,0,,図版,3,,0,CR17040204003L210_01,,0,CR17040204003L208_01,,0,CR17040204003L211_01,1,テキスト,金などの金属は，1種類の原子がたくさん集まってできているので，1個の原子で代表させて表すよ。,46,,
