【理科】暗記マニア　原稿入力FMT　※10問１セットで1シートに入力してください。※コメントに要件が書いてあります。必ず読んでから入力してください。文字数制限はありませんが、長すぎると極端に小さな文字になるおそれがあります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイトル画面,,,,,,問題No.1,問題領域,,,,ヒント領域,,,,解答領域,,,,,,,,,,,,解説領域,,,,備考
ゲームNo.,教科名,単元名（タイトル）,おすすめ度,,,,,,,,,,,,タイプ,選択肢数,選択肢１,,,選択肢２,,,選択肢３,,,正解,,,,,
,,,中１,中２,中３,,タイプ,問題文,文字数,図版ファイル名,タイプ,ヒント文,文字数,図版ファイル名,,,選択肢,文字数,図版ファイル名,選択肢２,文字数,図版ファイル名,選択肢,文字数,図版ファイル名,,タイプ,解説,文字数,図版ファイル名,
,理科,【生物】生物ハンターへの道,2,,,1 ,テキスト,ゾウリムシはどれ？,9,,,,0,,図版,3,,0,5Ra0f0M01Z02.eps,,0,5Ra0f0M01Z02.eps,,0,5Ra0f0M01Z02.eps,1,テキスト,毛が１本だけなのはミドリムシ，からだのまわりに毛がないのはハネケイソウだよ。,38,,
,理科,【生物】生物ハンターへの道,2,,,2 ,テキスト,ミドリムシはどれ？,9,,,,0,,図版,3,,0,5Ra0f0M01Z02.eps,,0,5Ra0f0M01Z02.eps,,0,5Ra0f0M01Z02.eps,1,テキスト,からだのまわりに毛がないのはハネケイソウ，毛がもじゃもじゃなのはゾウリムシだよ。,40,,
,理科,【生物】生物ハンターへの道,2,,,3 ,テキスト,ハネケイソウはどれ？,10,,,,0,,図版,3,,0,5Ra0f0M01Z02.eps,,0,5Ra0f0M01Z02.eps,,0,5Ra0f0M01Z02.eps,1,テキスト,毛がもじゃもじゃなのはゾウリムシ，毛が１本だけなのはミドリムシだよ。,34,,
,理科,【生物】生物ハンターへの道,2,,,4 ,テキスト,植物のスケッチでよい例はどれ？,15,,,,0,,図版,2,,0,11C205R0M00011Z2.eps,,0,11C205R0M00011Z2.eps,,0,,1,テキスト,スケッチは細い線と点で正確に，線は重ねないで，対象とするものだけをかこう。,37,,図版の枠囲いはとってください。
,理科,【生物】生物ハンターへの道,2,,,5 ,テキスト,マツの雌花はどれ？,9,,,,0,,図版,2,,0,11C205R0M00021Z1.eps,,0,11C205R0M00021Z1.eps,,0,,1,,,0,,支給図版の赤入れのテキストとケイを削除し、テキストを変えて、図版化をお願いいたします。
,理科,【生物】生物ハンターへの道,2,,,6 ,テキスト,葉脈が網状脈の葉はどれ？,12,,,,0,,図版,2,,0,5Ra0f0M03Z01.eps,,0,5Ra0f0M03Z01.eps,,0,,1,テキスト,葉脈が網の目のようになっているのが網状脈，平行になっているのが平行脈だね。,37,,
,理科,【生物】生物ハンターへの道,2,,,7 ,テキスト,根のつくりでひげ根はどれ？,13,,,,0,,図版,3,,0,5Ra0f0M03Z01.eps,,0,5Ra0f0M03Z01.eps,,0,5Ra0f0M03Z01.eps,1,テキスト,根の形には，ひげ根のタイプと，主根，側根があるタイプがあるね。,31,,支給図版に赤入れのケイとテキストをいれて、図版化をお願いいたします。
,理科,【生物】生物ハンターへの道,2,,,8 ,テキスト,茎の維管束を表した模式図で道管はどれ？,19,,,,0,,図版,2,,0,5Ra0f0M03Z02.eps,,0,5Ra0f0M03Z02.eps,,0,,1,テキスト,双子葉類の茎の維管束は輪の形に並んでいて，内側は道管，外側は師管だよ。,35,,支給図版の赤くつぶした部分を赤く着色し、ケイとテキストを入れて、図版化をお願いいたします。
,理科,【生物】生物ハンターへの道,2,,,9 ,テキスト,ホウセンカの茎の維管束を表した模式図はどれ？,22,,,,0,,図版,2,,0,5Ra0f0M03Z01.eps,,0,5Ra0f0M03Z01.eps,,0,,1,テキスト,ホウセンカは双子葉類で，茎の維管束は輪の形に並んでいるよ。散らばっているのは単子葉類の維管束だね。,49,,
,理科,【生物】生物ハンターへの道,2,,,10 ,テキスト,双子葉類の子葉はどれ？,11,,,,0,,図版,2,,0,11C205R0M00011Z2.eps,,0,11C205R0M00011Z2.eps,,0,,1,テキスト,双子葉類の子葉は２枚，単子葉類の子葉は１枚だよ。,24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
