暗記マニア　原稿入力FMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイトル画面,,,,,,問題No.1,問題領域,,,,ヒント領域,,,,解答領域,,,,,,,,,,,,解説領域,,,,備考
ゲームNo.,教科名,単元名（タイトル）,おすすめ度,,,,,,,,,,,,タイプ,選択肢数,選択肢１,,,選択肢２,,,選択肢３,,,正解,,,,,
,,,中１,中２,中３,,タイプ,問題文,文字数,図版ファイル名,タイプ,ヒント文,文字数,図版ファイル名,,,選択肢,文字数,図版ファイル名,選択肢２,文字数,図版ファイル名,選択肢,文字数,図版ファイル名,,タイプ,解説,文字数,図版ファイル名,
,社会,目指せ！　歴史暗記王～古代(1)くらしと道具編～,2,1,0,1 ,テキスト,旧石器時代に使われていた，石を打ち欠いてつくった石器はどれ？,30,,,,0,,テキスト,2,打製石器,4,,磨製石器,4,,,0,,1,,,0,,
,社会,目指せ！　歴史暗記王～古代(1)くらしと道具編～,2,1,0,2 ,テキスト,新石器時代に使われていた，石の表面をみがいて形を整えた石器はどれ？,33,,,,0,,テキスト,2,磨製石器,4,,鉄器,2,,,0,,1,,,,,
,社会,目指せ！　歴史暗記王～古代(1)くらしと道具編～,2,1,0,3 ,テキスト,中国の殷の時代に，祭りで神に供える作物などを入れるために使われたものはどれ？,38,,,,0,,テキスト,2,青銅器,3,,石包丁,3,,,0,,1,,,0,,
,社会,目指せ！　歴史暗記王～古代(1)くらしと道具編～,2,1,0,4 ,テキスト,縄文時代につくられた，多くは表面に縄目のような文様のある土器はどれ？,34,,,,0,,テキスト,2,縄文土器,4,,石包丁,3,,,0,,1,,,,,
,社会,目指せ！　歴史暗記王～古代(1)くらしと道具編～,2,1,0,5 ,テキスト,縄文時代に，自然の豊かな恵みを願ってつくられたとされる土製の人形はどれ？,36,,,,0,,テキスト,3,土偶,2,,埴輪,2,,,0,,1,,,0,,
,社会,目指せ！　歴史暗記王～古代(1)くらしと道具編～,2,1,0,6 ,テキスト,縄文時代に貝がらなどの食べ物の残りかすなどを捨てた場所はどれ？,31,,,,0,,テキスト,2,貝塚,2,,高床倉庫,4,,,0,,1,,,0,,
,社会,目指せ！　歴史暗記王～古代(1)くらしと道具編～,2,1,0,7 ,テキスト,縄文時代からつくられるようになった，地面の穴をほり，周囲に柱をたてて屋根をつけた住居はどれ？,46,,,,0,,テキスト,2,たて穴住居,5,,高床倉庫,4,,,0,,1,,,,,
,社会,目指せ！　歴史暗記王～古代(1)くらしと道具編～,2,1,0,8 ,テキスト,弥生時代につくられた．うすくてかたく，赤褐色をした土器はどれ？,31,,,,0,,テキスト,2,弥生土器,4,,鉄器,2,,青銅器,3,,1,,,0,,
,社会,目指せ！　歴史暗記王～古代(1)くらしと道具編～,2,1,0,9 ,テキスト,弥生時代に，むらの祭りなどで使われた青銅器はどれ？,25,,,,0,,テキスト,2,銅鐸,2,,金印,2,,鉄器,2,,1,,,0,,
